Region,Region code,Postcode
NSW major urban - capital city,1,"1,052"
NSW major urban - capital city,1,"1,053"
NSW major urban - capital city,1,"1,054"
NSW major urban - capital city,1,"1,055"
NSW major urban - capital city,1,"1,056"
NSW major urban - capital city,1,"1,057"
NSW major urban - capital city,1,"1,058"
NSW major urban - capital city,1,"1,059"
NSW major urban - capital city,1,"1,060"
NSW major urban - capital city,1,"1,061"
NSW major urban - capital city,1,"1,062"
NSW major urban - capital city,1,"1,063"
NSW major urban - capital city,1,"1,064"
NSW major urban - capital city,1,"1,065"
NSW major urban - capital city,1,"1,066"
NSW major urban - capital city,1,"1,067"
NSW major urban - capital city,1,"1,068"
NSW major urban - capital city,1,"1,069"
NSW major urban - capital city,1,"1,070"
NSW major urban - capital city,1,"1,071"
NSW major urban - capital city,1,"1,072"
NSW major urban - capital city,1,"1,073"
NSW major urban - capital city,1,"1,074"
NSW major urban - capital city,1,"1,075"
NSW major urban - capital city,1,"1,076"
NSW major urban - capital city,1,"1,077"
NSW major urban - capital city,1,"1,078"
NSW major urban - capital city,1,"1,079"
NSW major urban - capital city,1,"1,080"
NSW major urban - capital city,1,"1,081"
NSW major urban - capital city,1,"1,082"
NSW major urban - capital city,1,"1,083"
NSW major urban - capital city,1,"1,084"
NSW major urban - capital city,1,"1,085"
NSW major urban - capital city,1,"1,086"
NSW major urban - capital city,1,"1,087"
NSW major urban - capital city,1,"1,088"
NSW major urban - capital city,1,"1,089"
NSW major urban - capital city,1,"1,090"
NSW major urban - capital city,1,"1,091"
NSW major urban - capital city,1,"1,092"
NSW major urban - capital city,1,"1,093"
NSW major urban - capital city,1,"1,094"
NSW major urban - capital city,1,"1,095"
NSW major urban - capital city,1,"1,096"
NSW major urban - capital city,1,"1,097"
NSW major urban - capital city,1,"1,098"
NSW major urban - capital city,1,"1,099"
NSW major urban - capital city,1,"1,100"
NSW major urban - capital city,1,"1,101"
NSW major urban - capital city,1,"1,102"
NSW major urban - capital city,1,"1,103"
NSW major urban - capital city,1,"1,104"
NSW major urban - capital city,1,"1,105"
NSW major urban - capital city,1,"1,106"
NSW major urban - capital city,1,"1,107"
NSW major urban - capital city,1,"1,108"
NSW major urban - capital city,1,"1,109"
NSW major urban - capital city,1,"1,110"
NSW major urban - capital city,1,"1,111"
NSW major urban - capital city,1,"1,112"
NSW major urban - capital city,1,"1,113"
NSW major urban - capital city,1,"1,114"
NSW major urban - capital city,1,"1,115"
NSW major urban - capital city,1,"1,116"
NSW major urban - capital city,1,"1,117"
NSW major urban - capital city,1,"1,118"
NSW major urban - capital city,1,"1,119"
NSW major urban - capital city,1,"1,120"
NSW major urban - capital city,1,"1,121"
NSW major urban - capital city,1,"1,122"
NSW major urban - capital city,1,"1,123"
NSW major urban - capital city,1,"1,124"
NSW major urban - capital city,1,"1,125"
NSW major urban - capital city,1,"1,126"
NSW major urban - capital city,1,"1,127"
NSW major urban - capital city,1,"1,128"
NSW major urban - capital city,1,"1,129"
NSW major urban - capital city,1,"1,130"
NSW major urban - capital city,1,"1,131"
NSW major urban - capital city,1,"1,132"
NSW major urban - capital city,1,"1,133"
NSW major urban - capital city,1,"1,134"
NSW major urban - capital city,1,"1,135"
NSW major urban - capital city,1,"1,136"
NSW major urban - capital city,1,"1,137"
NSW major urban - capital city,1,"1,138"
NSW major urban - capital city,1,"1,139"
NSW major urban - capital city,1,"1,140"
NSW major urban - capital city,1,"1,141"
NSW major urban - capital city,1,"1,142"
NSW major urban - capital city,1,"1,143"
NSW major urban - capital city,1,"1,144"
NSW major urban - capital city,1,"1,145"
NSW major urban - capital city,1,"1,146"
NSW major urban - capital city,1,"1,147"
NSW major urban - capital city,1,"1,148"
NSW major urban - capital city,1,"1,149"
NSW major urban - capital city,1,"1,150"
NSW major urban - capital city,1,"1,151"
NSW major urban - capital city,1,"1,152"
NSW major urban - capital city,1,"1,153"
NSW major urban - capital city,1,"1,154"
NSW major urban - capital city,1,"1,155"
NSW major urban - capital city,1,"1,156"
NSW major urban - capital city,1,"1,157"
NSW major urban - capital city,1,"1,158"
NSW major urban - capital city,1,"1,159"
NSW major urban - capital city,1,"1,160"
NSW major urban - capital city,1,"1,161"
NSW major urban - capital city,1,"1,162"
NSW major urban - capital city,1,"1,163"
NSW major urban - capital city,1,"1,164"
NSW major urban - capital city,1,"1,165"
NSW major urban - capital city,1,"1,166"
NSW major urban - capital city,1,"1,167"
NSW major urban - capital city,1,"1,168"
NSW major urban - capital city,1,"1,169"
NSW major urban - capital city,1,"1,170"
NSW major urban - capital city,1,"1,171"
NSW major urban - capital city,1,"1,172"
NSW major urban - capital city,1,"1,173"
NSW major urban - capital city,1,"1,174"
NSW major urban - capital city,1,"1,175"
NSW major urban - capital city,1,"1,176"
NSW major urban - capital city,1,"1,177"
NSW major urban - capital city,1,"1,178"
NSW major urban - capital city,1,"1,179"
NSW major urban - capital city,1,"1,180"
NSW major urban - capital city,1,"1,181"
NSW major urban - capital city,1,"1,182"
NSW major urban - capital city,1,"1,183"
NSW major urban - capital city,1,"1,184"
NSW major urban - capital city,1,"1,185"
NSW major urban - capital city,1,"1,186"
NSW major urban - capital city,1,"1,187"
NSW major urban - capital city,1,"1,188"
NSW major urban - capital city,1,"1,189"
NSW major urban - capital city,1,"1,190"
NSW major urban - capital city,1,"1,191"
NSW major urban - capital city,1,"1,192"
NSW major urban - capital city,1,"1,193"
NSW major urban - capital city,1,"1,194"
NSW major urban - capital city,1,"1,195"
NSW major urban - capital city,1,"1,196"
NSW major urban - capital city,1,"1,197"
NSW major urban - capital city,1,"1,198"
NSW major urban - capital city,1,"1,199"
NSW major urban - capital city,1,"1,200"
NSW major urban - capital city,1,"1,201"
NSW major urban - capital city,1,"1,202"
NSW major urban - capital city,1,"1,203"
NSW major urban - capital city,1,"1,204"
NSW major urban - capital city,1,"1,205"
NSW major urban - capital city,1,"1,206"
NSW major urban - capital city,1,"1,207"
NSW major urban - capital city,1,"1,208"
NSW major urban - capital city,1,"1,209"
NSW major urban - capital city,1,"1,210"
NSW major urban - capital city,1,"1,211"
NSW major urban - capital city,1,"1,212"
NSW major urban - capital city,1,"1,213"
NSW major urban - capital city,1,"1,214"
NSW major urban - capital city,1,"1,215"
NSW major urban - capital city,1,"1,216"
NSW major urban - capital city,1,"1,217"
NSW major urban - capital city,1,"1,218"
NSW major urban - capital city,1,"1,219"
NSW major urban - capital city,1,"1,220"
NSW major urban - capital city,1,"1,221"
NSW major urban - capital city,1,"1,222"
NSW major urban - capital city,1,"1,223"
NSW major urban - capital city,1,"1,224"
NSW major urban - capital city,1,"1,225"
NSW major urban - capital city,1,"1,226"
NSW major urban - capital city,1,"1,227"
NSW major urban - capital city,1,"1,228"
NSW major urban - capital city,1,"1,229"
NSW major urban - capital city,1,"1,230"
NSW major urban - capital city,1,"1,231"
NSW major urban - capital city,1,"1,232"
NSW major urban - capital city,1,"1,233"
NSW major urban - capital city,1,"1,234"
NSW major urban - capital city,1,"1,235"
NSW major urban - capital city,1,"1,236"
NSW major urban - capital city,1,"1,237"
NSW major urban - capital city,1,"1,238"
NSW major urban - capital city,1,"1,239"
NSW major urban - capital city,1,"1,240"
NSW major urban - capital city,1,"1,241"
NSW major urban - capital city,1,"1,242"
NSW major urban - capital city,1,"1,243"
NSW major urban - capital city,1,"1,244"
NSW major urban - capital city,1,"1,245"
NSW major urban - capital city,1,"1,246"
NSW major urban - capital city,1,"1,247"
NSW major urban - capital city,1,"1,248"
NSW major urban - capital city,1,"1,249"
NSW major urban - capital city,1,"1,250"
NSW major urban - capital city,1,"1,251"
NSW major urban - capital city,1,"1,252"
NSW major urban - capital city,1,"1,253"
NSW major urban - capital city,1,"1,254"
NSW major urban - capital city,1,"1,255"
NSW major urban - capital city,1,"1,256"
NSW major urban - capital city,1,"1,257"
NSW major urban - capital city,1,"1,258"
NSW major urban - capital city,1,"1,259"
NSW major urban - capital city,1,"1,260"
NSW major urban - capital city,1,"1,261"
NSW major urban - capital city,1,"1,262"
NSW major urban - capital city,1,"1,263"
NSW major urban - capital city,1,"1,264"
NSW major urban - capital city,1,"1,265"
NSW major urban - capital city,1,"1,266"
NSW major urban - capital city,1,"1,267"
NSW major urban - capital city,1,"1,268"
NSW major urban - capital city,1,"1,269"
NSW major urban - capital city,1,"1,270"
NSW major urban - capital city,1,"1,271"
NSW major urban - capital city,1,"1,272"
NSW major urban - capital city,1,"1,273"
NSW major urban - capital city,1,"1,274"
NSW major urban - capital city,1,"1,275"
NSW major urban - capital city,1,"1,276"
NSW major urban - capital city,1,"1,277"
NSW major urban - capital city,1,"1,278"
NSW major urban - capital city,1,"1,279"
NSW major urban - capital city,1,"1,280"
NSW major urban - capital city,1,"1,281"
NSW major urban - capital city,1,"1,282"
NSW major urban - capital city,1,"1,283"
NSW major urban - capital city,1,"1,284"
NSW major urban - capital city,1,"1,285"
NSW major urban - capital city,1,"1,286"
NSW major urban - capital city,1,"1,287"
NSW major urban - capital city,1,"1,288"
NSW major urban - capital city,1,"1,289"
NSW major urban - capital city,1,"1,290"
NSW major urban - capital city,1,"1,291"
NSW major urban - capital city,1,"1,292"
NSW major urban - capital city,1,"1,293"
NSW major urban - capital city,1,"1,294"
NSW major urban - capital city,1,"1,295"
NSW major urban - capital city,1,"1,296"
NSW major urban - capital city,1,"1,297"
NSW major urban - capital city,1,"1,298"
NSW major urban - capital city,1,"1,299"
NSW major urban - capital city,1,"1,300"
NSW major urban - capital city,1,"1,301"
NSW major urban - capital city,1,"1,302"
NSW major urban - capital city,1,"1,303"
NSW major urban - capital city,1,"1,304"
NSW major urban - capital city,1,"1,305"
NSW major urban - capital city,1,"1,306"
NSW major urban - capital city,1,"1,307"
NSW major urban - capital city,1,"1,308"
NSW major urban - capital city,1,"1,309"
NSW major urban - capital city,1,"1,310"
NSW major urban - capital city,1,"1,311"
NSW major urban - capital city,1,"1,312"
NSW major urban - capital city,1,"1,313"
NSW major urban - capital city,1,"1,314"
NSW major urban - capital city,1,"1,315"
NSW major urban - capital city,1,"1,316"
NSW major urban - capital city,1,"1,317"
NSW major urban - capital city,1,"1,318"
NSW major urban - capital city,1,"1,319"
NSW major urban - capital city,1,"1,320"
NSW major urban - capital city,1,"1,321"
NSW major urban - capital city,1,"1,322"
NSW major urban - capital city,1,"1,323"
NSW major urban - capital city,1,"1,324"
NSW major urban - capital city,1,"1,325"
NSW major urban - capital city,1,"1,326"
NSW major urban - capital city,1,"1,327"
NSW major urban - capital city,1,"1,328"
NSW major urban - capital city,1,"1,329"
NSW major urban - capital city,1,"1,330"
NSW major urban - capital city,1,"1,331"
NSW major urban - capital city,1,"1,332"
NSW major urban - capital city,1,"1,333"
NSW major urban - capital city,1,"1,334"
NSW major urban - capital city,1,"1,335"
NSW major urban - capital city,1,"1,336"
NSW major urban - capital city,1,"1,337"
NSW major urban - capital city,1,"1,338"
NSW major urban - capital city,1,"1,339"
NSW major urban - capital city,1,"1,340"
NSW major urban - capital city,1,"1,341"
NSW major urban - capital city,1,"1,342"
NSW major urban - capital city,1,"1,343"
NSW major urban - capital city,1,"1,344"
NSW major urban - capital city,1,"1,345"
NSW major urban - capital city,1,"1,346"
NSW major urban - capital city,1,"1,347"
NSW major urban - capital city,1,"1,348"
NSW major urban - capital city,1,"1,349"
NSW major urban - capital city,1,"1,350"
NSW major urban - capital city,1,"1,351"
NSW major urban - capital city,1,"1,352"
NSW major urban - capital city,1,"1,353"
NSW major urban - capital city,1,"1,354"
NSW major urban - capital city,1,"1,355"
NSW major urban - capital city,1,"1,356"
NSW major urban - capital city,1,"1,357"
NSW major urban - capital city,1,"1,358"
NSW major urban - capital city,1,"1,359"
NSW major urban - capital city,1,"1,360"
NSW major urban - capital city,1,"1,361"
NSW major urban - capital city,1,"1,362"
NSW major urban - capital city,1,"1,363"
NSW major urban - capital city,1,"1,364"
NSW major urban - capital city,1,"1,365"
NSW major urban - capital city,1,"1,366"
NSW major urban - capital city,1,"1,367"
NSW major urban - capital city,1,"1,368"
NSW major urban - capital city,1,"1,369"
NSW major urban - capital city,1,"1,370"
NSW major urban - capital city,1,"1,371"
NSW major urban - capital city,1,"1,372"
NSW major urban - capital city,1,"1,373"
NSW major urban - capital city,1,"1,374"
NSW major urban - capital city,1,"1,375"
NSW major urban - capital city,1,"1,376"
NSW major urban - capital city,1,"1,377"
NSW major urban - capital city,1,"1,378"
NSW major urban - capital city,1,"1,379"
NSW major urban - capital city,1,"1,380"
NSW major urban - capital city,1,"1,381"
NSW major urban - capital city,1,"1,382"
NSW major urban - capital city,1,"1,383"
NSW major urban - capital city,1,"1,384"
NSW major urban - capital city,1,"1,385"
NSW major urban - capital city,1,"1,386"
NSW major urban - capital city,1,"1,387"
NSW major urban - capital city,1,"1,388"
NSW major urban - capital city,1,"1,389"
NSW major urban - capital city,1,"1,390"
NSW major urban - capital city,1,"1,391"
NSW major urban - capital city,1,"1,392"
NSW major urban - capital city,1,"1,393"
NSW major urban - capital city,1,"1,394"
NSW major urban - capital city,1,"1,395"
NSW major urban - capital city,1,"1,396"
NSW major urban - capital city,1,"1,397"
NSW major urban - capital city,1,"1,398"
NSW major urban - capital city,1,"1,399"
NSW major urban - capital city,1,"1,400"
NSW major urban - capital city,1,"1,401"
NSW major urban - capital city,1,"1,402"
NSW major urban - capital city,1,"1,403"
NSW major urban - capital city,1,"1,404"
NSW major urban - capital city,1,"1,405"
NSW major urban - capital city,1,"1,406"
NSW major urban - capital city,1,"1,407"
NSW major urban - capital city,1,"1,408"
NSW major urban - capital city,1,"1,409"
NSW major urban - capital city,1,"1,410"
NSW major urban - capital city,1,"1,411"
NSW major urban - capital city,1,"1,412"
NSW major urban - capital city,1,"1,413"
NSW major urban - capital city,1,"1,414"
NSW major urban - capital city,1,"1,415"
NSW major urban - capital city,1,"1,416"
NSW major urban - capital city,1,"1,417"
NSW major urban - capital city,1,"1,418"
NSW major urban - capital city,1,"1,419"
NSW major urban - capital city,1,"1,420"
NSW major urban - capital city,1,"1,421"
NSW major urban - capital city,1,"1,422"
NSW major urban - capital city,1,"1,423"
NSW major urban - capital city,1,"1,424"
NSW major urban - capital city,1,"1,425"
NSW major urban - capital city,1,"1,426"
NSW major urban - capital city,1,"1,427"
NSW major urban - capital city,1,"1,428"
NSW major urban - capital city,1,"1,429"
NSW major urban - capital city,1,"1,430"
NSW major urban - capital city,1,"1,431"
NSW major urban - capital city,1,"1,432"
NSW major urban - capital city,1,"1,433"
NSW major urban - capital city,1,"1,434"
NSW major urban - capital city,1,"1,435"
NSW major urban - capital city,1,"1,436"
NSW major urban - capital city,1,"1,437"
NSW major urban - capital city,1,"1,438"
NSW major urban - capital city,1,"1,439"
NSW major urban - capital city,1,"1,440"
NSW major urban - capital city,1,"1,441"
NSW major urban - capital city,1,"1,442"
NSW major urban - capital city,1,"1,443"
NSW major urban - capital city,1,"1,444"
NSW major urban - capital city,1,"1,445"
NSW major urban - capital city,1,"1,446"
NSW major urban - capital city,1,"1,447"
NSW major urban - capital city,1,"1,448"
NSW major urban - capital city,1,"1,449"
NSW major urban - capital city,1,"1,450"
NSW major urban - capital city,1,"1,451"
NSW major urban - capital city,1,"1,452"
NSW major urban - capital city,1,"1,453"
NSW major urban - capital city,1,"1,454"
NSW major urban - capital city,1,"1,455"
NSW major urban - capital city,1,"1,456"
NSW major urban - capital city,1,"1,457"
NSW major urban - capital city,1,"1,458"
NSW major urban - capital city,1,"1,459"
NSW major urban - capital city,1,"1,460"
NSW major urban - capital city,1,"1,461"
NSW major urban - capital city,1,"1,462"
NSW major urban - capital city,1,"1,463"
NSW major urban - capital city,1,"1,464"
NSW major urban - capital city,1,"1,465"
NSW major urban - capital city,1,"1,466"
NSW major urban - capital city,1,"1,467"
NSW major urban - capital city,1,"1,468"
NSW major urban - capital city,1,"1,469"
NSW major urban - capital city,1,"1,470"
NSW major urban - capital city,1,"1,471"
NSW major urban - capital city,1,"1,472"
NSW major urban - capital city,1,"1,473"
NSW major urban - capital city,1,"1,474"
NSW major urban - capital city,1,"1,475"
NSW major urban - capital city,1,"1,476"
NSW major urban - capital city,1,"1,477"
NSW major urban - capital city,1,"1,478"
NSW major urban - capital city,1,"1,479"
NSW major urban - capital city,1,"1,480"
NSW major urban - capital city,1,"1,481"
NSW major urban - capital city,1,"1,482"
NSW major urban - capital city,1,"1,483"
NSW major urban - capital city,1,"1,484"
NSW major urban - capital city,1,"1,485"
NSW major urban - capital city,1,"1,486"
NSW major urban - capital city,1,"1,487"
NSW major urban - capital city,1,"1,488"
NSW major urban - capital city,1,"1,489"
NSW major urban - capital city,1,"1,490"
NSW major urban - capital city,1,"1,491"
NSW major urban - capital city,1,"1,492"
NSW major urban - capital city,1,"1,493"
NSW major urban - capital city,1,"1,494"
NSW major urban - capital city,1,"1,495"
NSW major urban - capital city,1,"1,496"
NSW major urban - capital city,1,"1,497"
NSW major urban - capital city,1,"1,498"
NSW major urban - capital city,1,"1,499"
NSW major urban - capital city,1,"1,500"
NSW major urban - capital city,1,"1,501"
NSW major urban - capital city,1,"1,502"
NSW major urban - capital city,1,"1,503"
NSW major urban - capital city,1,"1,504"
NSW major urban - capital city,1,"1,505"
NSW major urban - capital city,1,"1,506"
NSW major urban - capital city,1,"1,507"
NSW major urban - capital city,1,"1,508"
NSW major urban - capital city,1,"1,509"
NSW major urban - capital city,1,"1,510"
NSW major urban - capital city,1,"1,511"
NSW major urban - capital city,1,"1,512"
NSW major urban - capital city,1,"1,513"
NSW major urban - capital city,1,"1,514"
NSW major urban - capital city,1,"1,515"
NSW major urban - capital city,1,"1,516"
NSW major urban - capital city,1,"1,517"
NSW major urban - capital city,1,"1,518"
NSW major urban - capital city,1,"1,519"
NSW major urban - capital city,1,"1,520"
NSW major urban - capital city,1,"1,521"
NSW major urban - capital city,1,"1,522"
NSW major urban - capital city,1,"1,523"
NSW major urban - capital city,1,"1,524"
NSW major urban - capital city,1,"1,525"
NSW major urban - capital city,1,"1,526"
NSW major urban - capital city,1,"1,527"
NSW major urban - capital city,1,"1,528"
NSW major urban - capital city,1,"1,529"
NSW major urban - capital city,1,"1,530"
NSW major urban - capital city,1,"1,531"
NSW major urban - capital city,1,"1,532"
NSW major urban - capital city,1,"1,533"
NSW major urban - capital city,1,"1,534"
NSW major urban - capital city,1,"1,535"
NSW major urban - capital city,1,"1,536"
NSW major urban - capital city,1,"1,537"
NSW major urban - capital city,1,"1,538"
NSW major urban - capital city,1,"1,539"
NSW major urban - capital city,1,"1,540"
NSW major urban - capital city,1,"1,541"
NSW major urban - capital city,1,"1,542"
NSW major urban - capital city,1,"1,543"
NSW major urban - capital city,1,"1,544"
NSW major urban - capital city,1,"1,545"
NSW major urban - capital city,1,"1,546"
NSW major urban - capital city,1,"1,547"
NSW major urban - capital city,1,"1,548"
NSW major urban - capital city,1,"1,549"
NSW major urban - capital city,1,"1,550"
NSW major urban - capital city,1,"1,551"
NSW major urban - capital city,1,"1,552"
NSW major urban - capital city,1,"1,553"
NSW major urban - capital city,1,"1,554"
NSW major urban - capital city,1,"1,555"
NSW major urban - capital city,1,"1,556"
NSW major urban - capital city,1,"1,557"
NSW major urban - capital city,1,"1,558"
NSW major urban - capital city,1,"1,559"
NSW major urban - capital city,1,"1,560"
NSW major urban - capital city,1,"1,561"
NSW major urban - capital city,1,"1,562"
NSW major urban - capital city,1,"1,563"
NSW major urban - capital city,1,"1,564"
NSW major urban - capital city,1,"1,565"
NSW major urban - capital city,1,"1,566"
NSW major urban - capital city,1,"1,567"
NSW major urban - capital city,1,"1,568"
NSW major urban - capital city,1,"1,569"
NSW major urban - capital city,1,"1,570"
NSW major urban - capital city,1,"1,571"
NSW major urban - capital city,1,"1,572"
NSW major urban - capital city,1,"1,573"
